canonical_smiles,molwt
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,766.376
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,724.666
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,803.562
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,850.562
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,704.545
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,783.441
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,830.441
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,658.498
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,737.394
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,784.394
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,664.527
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,743.423
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,790.423
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,643.427
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,722.323
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,769.323
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CCCC)C2=O)C(C)(C)c2ccccc21,671.481
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(Br)ccc21,750.377
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(I)ccc21,797.377
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,686.496
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,765.392
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,812.392
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,687.48
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,766.376
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,813.376
